Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
199352366,The Pairing,Casey McQuiston,"McQuiston, Casey",,"=""1250864054""","=""9781250864055""",0,3.77,St. Martin's Griffin,ebook,432,2024,2024,,2024/12/22,currently-reading,currently-reading (#7),currently-reading,,,,1,0
204906164,Definitely Better Now,Ava  Robinson,"Robinson, Ava",,"=""0778310590""","=""9780778310594""",0,4.01,MIRA,Hardcover,352,2024,2024,,2024/12/22,to-read,to-read (#196),to-read,,,,0,0
63032830,"Still Beating (Lost Boys, #2.6)",Jessie  Walker,"Walker, Jessie",,"=""""","=""""",3,4.45,Amazon,Kindle Edition,185,2022,,2024/12/22,2024/12/21,,,read,,,,1,0
60649230,If There's a Way (Lost Boys #2),Jessie  Walker,"Walker, Jessie",,"=""""","=""""",3,4.46,,Kindle Edition,601,2022,2022,2024/12/21,2024/12/17,,,read,,,,1,0
204259759,Unloved (The Unlucky Ones #2),Marley Valentine,"Valentine, Marley",,"=""""","=""""",0,4.04,,Kindle Edition,296,2023,,,2024/12/20,to-read,to-read (#195),to-read,,,,0,0
214331246,"Sunrise on the Reaping (The Hunger Games, #0.5)",Suzanne Collins,"Collins, Suzanne",,"=""1546171460""","=""9781546171461""",0,4.77,Scholastic Press,Hardcover,400,2025,2025,,2024/12/19,to-read,to-read (#194),to-read,,,,0,0
34313931,A Woman Is No Man,Etaf Rum,"Rum, Etaf",,"=""0062699768""","=""9780062699763""",0,4.26,Harper,Hardcover,339,2019,2019,,2024/12/18,to-read,to-read (#193),to-read,,,,0,0
58786365,"Where There's a Will (Lost Boys, #1)",Jessie  Walker,"Walker, Jessie",,"=""""","=""""",3,4.27,,Kindle Edition,503,2021,2021,2024/12/17,2024/12/11,,,read,,,,1,0
210521813,If It Makes You Happy,Julie Olivia,"Olivia, Julie",,"=""""","=""""",0,4.38,,Kindle Edition,510,2024,2024,,2024/12/16,to-read,to-read (#192),to-read,,,,0,0
49097688,"Make Your Move (Hannaford Prep, #2)",J. Bree,"Bree, J.",,"=""""","=""""",0,4.42,Independently Published,Kindle Edition,320,2019,2019,,2024/12/16,to-read,to-read (#191),to-read,,,,0,0
204676420,"Bromantic Puckboy (Puckboys, #6)",Eden Finley,"Finley, Eden",Saxon James,"=""""","=""""",0,4.21,Sadenverse Books,Kindle Edition,274,2024,2024,,2024/12/15,to-read,to-read (#190),to-read,,,,0,0
50093704,In Five Years,Rebecca Serle,"Serle, Rebecca",,"=""1982137444""","=""9781982137441""",0,3.78,Atria Books,Hardcover,272,2020,2020,,2024/12/13,to-read,to-read (#189),to-read,,,,0,0
